id_devolucao,id_pedido,id_produto,data_devolucao,motivo_devolucao,valor_reembolso
36,28884,11,2023-11-03,Produto com defeito,656.57
37,8133,2,2023-04-24,Atraso na entrega,1707.87
38,47109,30,2023-04-13,Produto errado,1399.88
39,10870,11,2024-01-02,Atraso na entrega,665.88
40,1972,107,2023-02-05,Produto danificado,2825.5
41,37675,40,2023-12-07,Produto com defeito,458.02
42,32681,83,2023-09-09,Produto com defeito,814.36
43,24056,219,2023-10-28,Insatisfacao do cliente,328.42
44,20516,186,2023-07-05,Produto com defeito,1149.91
45,17875,96,2023-03-23,Produto danificado,469.73
46,28151,93,2023-10-06,Produto com defeito,1990.98
47,38907,21,2023-11-25,Atraso na entrega,275.15
48,5140,227,2023-11-16,Produto com defeito,3936.68
49,37994,97,2023-03-09,Produto danificado,255.06
50,27871,132,2023-09-05,Produto com defeito,828.38
51,49993,145,2023-06-02,Insatisfacao do cliente,121.77
52,24420,73,2023-12-03,Insatisfacao do cliente,2685.02
53,34149,143,2023-12-07,Produto errado,2734.4
54,25774,16,2023-09-13,Produto errado,1020.22
55,28054,6,2023-06-14,Atraso na entrega,1140.29
56,22518,41,2023-06-14,Insatisfacao do cliente,458.39
57,33660,42,2023-01-17,Insatisfacao do cliente,2288.74
58,21056,144,2023-03-07,Insatisfacao do cliente,1183.91
59,501,101,2023-07-10,Produto danificado,1624.82
60,34842,11,2023-10-01,Atraso na entrega,1331.76
61,42955,89,2023-10-15,Atraso na entrega,1581.68
62,39833,193,2023-05-13,Produto danificado,1065.28
63,18031,67,2023-12-31,Produto errado,2301.79
64,29581,14,2023-06-06,Produto com defeito,1458.2
65,44035,169,2023-09-16,Produto com defeito,105.94
66,17715,61,2023-03-27,Atraso na entrega,502.42
67,32331,238,2023-12-06,Insatisfacao do cliente,1196.36
68,41731,82,2023-08-28,Produto danificado,232.0
69,15658,229,2023-03-11,Insatisfacao do cliente,237.93
70,48404,164,2023-01-19,Produto com defeito,1899.89
71,26521,188,2023-01-10,Produto errado,1331.28
72,42305,112,2023-02-10,Insatisfacao do cliente,398.25
73,1876,70,2023-02-13,Insatisfacao do cliente,1054.13
74,4683,214,2023-04-26,Produto com defeito,2070.14
75,34893,164,2023-10-25,Produto errado,973.98
76,17368,63,2023-05-06,Produto errado,1276.2
77,8435,11,2023-10-07,Produto errado,1274.17
78,4955,112,2023-06-11,Atraso na entrega,796.5
79,9862,194,2023-12-07,Atraso na entrega,624.64
80,5977,83,2023-11-30,Produto errado,855.78
81,14998,69,2023-02-01,Atraso na entrega,1572.14
82,20135,220,2023-09-15,Produto errado,78.02
83,49417,198,2023-02-16,Produto danificado,1267.38
84,1936,77,2023-11-20,Produto com defeito,1099.34
85,30123,28,2023-07-27,Atraso na entrega,1232.53
86,24656,164,2023-12-03,Atraso na entrega,940.53
87,24012,173,2023-09-10,Produto com defeito,2996.01
88,38598,38,2023-06-12,Produto com defeito,1420.71
89,24789,98,2023-03-01,Insatisfacao do cliente,1661.7
90,28619,105,2024-01-08,Produto errado,145.7
91,14099,179,2023-11-28,Produto com defeito,1100.21
92,219,240,2023-07-21,Produto danificado,850.51
93,41113,84,2023-09-13,Produto danificado,2510.22
94,27307,28,2023-12-20,Produto com defeito,1288.4
95,14660,96,2023-05-11,Produto com defeito,459.17
96,8949,208,2023-05-26,Produto danificado,1466.94
97,28898,22,2023-06-04,Insatisfacao do cliente,245.06
98,33551,58,2023-06-01,Produto com defeito,1386.65
99,7548,162,2023-10-18,Produto danificado,987.82
100,34028,130,2023-03-10,Atraso na entrega,1545.87
101,43530,205,2023-02-26,Produto errado,644.05
102,9068,239,2023-08-18,Produto com defeito,2948.74
103,9885,215,2023-06-22,Produto danificado,1222.08
104,17603,236,2023-07-25,Produto danificado,1122.18
105,49778,46,2023-09-28,Atraso na entrega,1084.43
106,11536,207,2023-08-24,Insatisfacao do cliente,2124.5
107,47747,69,2023-05-10,Produto com defeito,531.0
108,29265,166,2023-12-08,Produto com defeito,1410.17
109,17504,234,2023-04-10,Produto com defeito,4909.29
110,45987,167,2023-08-16,Atraso na entrega,2330.94
111,5871,118,2024-01-11,Produto errado,1408.73
112,9520,157,2023-11-12,Insatisfacao do cliente,1850.58
113,30090,76,2023-08-11,Produto errado,721.24
114,14194,76,2023-12-05,Produto com defeito,2029.48
115,15935,163,2023-09-02,Produto errado,2737.94
116,14485,153,2023-07-27,Insatisfacao do cliente,904.13
117,41614,73,2023-04-15,Insatisfacao do cliente,1389.12
118,498,178,2023-11-27,Produto com defeito,1471.4
119,43255,230,2023-01-13,Produto com defeito,972.58
120,39971,80,2023-04-02,Produto com defeito,804.55
121,4666,49,2023-10-26,Produto errado,2483.16
122,16927,141,2023-12-02,Produto com defeito,2175.78
123,18594,70,2023-10-15,Insatisfacao do cliente,4216.52
124,34868,209,2023-05-05,Atraso na entrega,4415.52
125,35065,165,2023-04-08,Produto errado,299.62
126,7839,198,2023-06-10,Produto com defeito,554.54
127,33527,224,2023-08-11,Produto danificado,772.94
128,37827,202,2023-07-21,Produto errado,1346.49
129,20169,38,2023-06-12,Produto com defeito,529.47
130,4260,40,2023-12-22,Atraso na entrega,466.46
131,14686,14,2023-01-25,Produto errado,2187.3
132,2538,11,2023-05-11,Atraso na entrega,1331.76
133,25743,152,2023-03-31,Atraso na entrega,662.67
134,7160,213,2023-02-24,Atraso na entrega,827.11
135,47836,70,2023-04-18,Produto danificado,3046.23
136,39637,60,2023-12-13,Atraso na entrega,729.18
137,9325,183,2023-04-07,Insatisfacao do cliente,764.74
138,27039,135,2023-11-06,Produto danificado,632.09
139,17114,104,2024-01-01,Atraso na entrega,3813.9
140,27017,150,2023-12-01,Insatisfacao do cliente,356.68
141,46879,187,2023-12-17,Produto danificado,2206.19
142,35437,7,2023-03-10,Insatisfacao do cliente,425.43
143,4983,11,2023-10-22,Atraso na entrega,649.59
144,42653,32,2023-11-11,Produto com defeito,570.96
145,24904,47,2023-10-24,Produto com defeito,2758.79
146,409,234,2023-08-27,Produto com defeito,1320.51
147,32813,12,2023-10-10,Atraso na entrega,1282.18
148,6655,90,2023-06-23,Insatisfacao do cliente,1337.02
149,34423,68,2023-11-16,Insatisfacao do cliente,681.23
150,1502,141,2023-11-18,Insatisfacao do cliente,1068.12
151,37406,142,2023-10-31,Atraso na entrega,1600.29
152,8444,97,2023-11-27,Produto com defeito,654.77
153,26788,115,2023-05-11,Produto danificado,286.78
154,46744,101,2023-11-22,Produto danificado,2479.65
155,3879,90,2023-02-22,Produto danificado,1396.14
156,32093,150,2023-05-13,Insatisfacao do cliente,651.66
157,28376,109,2023-01-21,Insatisfacao do cliente,199.11
158,37797,114,2023-01-28,Produto danificado,488.3
159,31897,212,2023-01-23,Produto errado,993.96
160,3394,81,2023-12-04,Atraso na entrega,796.79
161,36404,228,2023-08-11,Produto danificado,3617.56
162,7233,83,2023-09-24,Produto com defeito,3423.12
163,43139,43,2023-10-06,Insatisfacao do cliente,419.02
164,3207,136,2023-08-06,Produto com defeito,2100.87
165,45831,47,2023-12-09,Atraso na entrega,2933.52
166,20785,117,2023-07-19,Produto danificado,1189.28
167,43584,21,2023-07-01,Produto com defeito,263.19
168,30239,198,2023-07-09,Insatisfacao do cliente,633.69
169,46733,64,2023-04-28,Insatisfacao do cliente,1747.3
170,12377,227,2023-01-31,Produto danificado,1605.8
171,31200,210,2023-03-24,Produto com defeito,3241.74
172,42352,119,2023-05-30,Produto danificado,43.7
173,37663,75,2023-03-29,Produto com defeito,288.92
174,27486,206,2023-03-26,Atraso na entrega,1097.64
175,40736,23,2023-12-31,Atraso na entrega,234.85
176,36844,37,2023-10-29,Insatisfacao do cliente,5159.17
177,13496,223,2023-05-24,Produto danificado,981.95
178,10604,69,2023-08-14,Produto errado,517.14
179,9822,13,2023-02-07,Produto errado,1029.22
180,31181,173,2023-11-27,Insatisfacao do cliente,1010.45
181,28873,15,2023-12-23,Produto com defeito,505.17
182,16210,187,2023-11-25,Produto errado,1185.99
183,33955,116,2023-02-18,Insatisfacao do cliente,980.51
184,21334,236,2023-12-13,Atraso na entrega,275.77
185,29084,93,2023-02-11,Insatisfacao do cliente,1914.76
186,16674,57,2023-06-19,Atraso na entrega,992.57
187,796,99,2023-05-13,Atraso na entrega,468.31
188,18056,104,2023-02-11,Insatisfacao do cliente,2424.43
189,19424,239,2023-05-04,Produto errado,5897.48
190,17526,230,2023-09-18,Atraso na entrega,1509.54
191,42882,65,2023-09-13,Insatisfacao do cliente,409.52
192,802,94,2023-11-30,Atraso na entrega,487.33
193,33035,104,2023-10-07,Insatisfacao do cliente,1271.3
194,30554,177,2023-10-22,Produto danificado,2385.62
195,25325,221,2023-03-31,Produto errado,1900.1
196,4513,121,2023-11-17,Produto danificado,1959.86
197,33158,12,2023-04-02,Atraso na entrega,1271.16
198,32777,169,2023-01-23,Produto com defeito,215.24
199,38889,178,2023-05-01,Atraso na entrega,356.7
200,48964,79,2023-09-20,Atraso na entrega,1120.74
201,37562,15,2023-02-05,Insatisfacao do cliente,505.17
202,29246,102,2023-11-04,Produto errado,964.24
203,22121,160,2023-05-24,Insatisfacao do cliente,540.86
204,12606,58,2023-04-07,Produto errado,5384.66
205,9765,11,2023-12-01,Insatisfacao do cliente,654.66
206,2002,58,2023-08-23,Insatisfacao do cliente,2689.21
207,44936,130,2023-08-03,Insatisfacao do cliente,2241.17
208,27839,217,2023-04-13,Insatisfacao do cliente,928.02
209,44919,11,2023-10-05,Produto danificado,2584.74
210,40852,72,2023-02-12,Produto danificado,1154.22
211,26507,19,2023-04-30,Insatisfacao do cliente,4247.33
212,30877,190,2023-08-01,Produto errado,644.11
213,40548,146,2023-11-01,Produto errado,1370.02
214,34899,220,2023-02-06,Produto errado,39.89
215,2605,46,2023-12-07,Produto com defeito,2189.03
216,47038,31,2023-03-15,Atraso na entrega,1166.53
217,16663,180,2023-02-21,Atraso na entrega,76.07
218,28371,13,2023-08-29,Produto danificado,4116.88
219,25993,73,2023-11-14,Produto com defeito,1389.12
220,15854,144,2024-01-02,Produto com defeito,2449.05
221,4193,91,2023-08-06,Produto com defeito,494.54
222,34950,229,2023-11-14,Produto danificado,94.24
223,37193,16,2023-06-30,Produto errado,1112.74
224,34189,237,2023-05-19,Insatisfacao do cliente,848.25
225,5968,11,2023-04-25,Produto com defeito,656.71
226,3191,28,2023-09-05,Atraso na entrega,629.67
227,14268,163,2023-12-10,Produto com defeito,1015.21
228,47121,172,2023-08-11,Produto danificado,320.62
229,49442,54,2023-09-06,Produto errado,511.26
230,24562,5,2023-12-16,Produto danificado,83.14
231,10253,29,2023-11-13,Produto com defeito,512.72
232,26530,178,2023-06-15,Produto danificado,367.85
233,47745,8,2023-11-19,Produto errado,825.52
234,39038,176,2023-12-01,Insatisfacao do cliente,1024.07
235,684,232,2023-06-26,Atraso na entrega,106.43
236,3381,153,2023-02-10,Atraso na entrega,1137.09
237,27704,64,2023-06-01,Produto com defeito,4219.9
238,19936,65,2023-12-25,Produto danificado,1250.82
239,22099,84,2023-10-26,Produto com defeito,3607.19
240,934,124,2023-08-27,Produto danificado,1486.9
241,32966,223,2023-06-05,Produto danificado,1963.9
242,5205,36,2024-01-08,Produto com defeito,1469.33
243,16617,29,2023-12-17,Atraso na entrega,256.36
244,12650,123,2023-06-23,Atraso na entrega,3420.67
245,17336,218,2023-02-14,Produto errado,3001.14
246,29806,108,2023-12-02,Insatisfacao do cliente,2106.92
247,22085,74,2023-11-09,Insatisfacao do cliente,943.14
248,23580,92,2023-04-14,Atraso na entrega,1194.0
249,6965,49,2023-09-20,Produto danificado,2483.16
250,31916,66,2023-07-21,Produto danificado,886.13
251,36994,141,2023-02-16,Produto danificado,3263.67
252,42626,173,2023-03-11,Produto danificado,1010.45
253,38477,1,2023-03-08,Atraso na entrega,3956.82
254,30067,160,2023-08-23,Produto errado,1005.7
255,5500,170,2023-11-15,Insatisfacao do cliente,2552.7
256,12873,144,2023-07-07,Produto danificado,2159.15
257,25775,173,2023-07-21,Produto com defeito,1928.44
258,39143,49,2023-03-13,Produto danificado,1199.49
259,36040,94,2023-08-22,Atraso na entrega,540.72
260,3120,57,2023-06-15,Produto danificado,920.47
261,14593,41,2023-10-19,Produto errado,556.62
262,43869,229,2023-01-19,Produto com defeito,207.5
263,35784,66,2023-12-05,Produto errado,2031.79
264,40930,103,2023-03-27,Atraso na entrega,467.01
265,4254,26,2023-08-31,Atraso na entrega,2067.22
266,15131,237,2023-12-09,Produto errado,871.23
267,20324,190,2023-04-17,Produto errado,3025.2
268,13493,9,2023-04-05,Insatisfacao do cliente,1078.66
269,15639,168,2023-05-09,Produto errado,1078.06
270,2365,54,2023-08-12,Atraso na entrega,522.12
271,46279,30,2023-08-04,Produto com defeito,2878.26
272,17959,141,2023-10-05,Produto danificado,961.29
273,49005,103,2023-01-06,Atraso na entrega,155.67
274,47074,119,2023-10-16,Insatisfacao do cliente,44.66
275,27803,40,2023-11-24,Produto com defeito,466.46
276,46685,83,2023-06-11,Atraso na entrega,1539.41
277,28784,109,2023-03-28,Insatisfacao do cliente,612.9
278,47810,61,2023-03-17,Insatisfacao do cliente,1074.91
279,30278,117,2023-01-23,Produto danificado,594.64
280,29191,17,2023-05-13,Atraso na entrega,2195.48
281,2014,224,2023-02-03,Produto com defeito,402.93
282,10017,25,2023-07-05,Produto danificado,698.53
283,3332,206,2023-09-03,Produto com defeito,1097.64
284,32128,111,2023-05-17,Insatisfacao do cliente,1314.27
285,11365,223,2023-10-29,Atraso na entrega,961.25
286,33779,154,2023-02-27,Produto danificado,2063.73
287,21702,229,2023-11-03,Produto danificado,121.85
288,1084,145,2023-12-10,Produto danificado,119.8
289,45818,152,2023-11-30,Produto danificado,2137.44
290,39645,200,2023-09-20,Produto com defeito,705.16
291,18760,136,2023-10-25,Produto errado,4201.47
292,8183,121,2023-07-10,Produto danificado,1342.64
293,9947,140,2023-07-06,Produto danificado,1144.67
294,27870,200,2023-04-17,Produto danificado,2115.48
295,40290,184,2023-12-10,Produto danificado,4631.95
296,4208,180,2023-12-20,Produto errado,65.81
297,41694,31,2023-06-01,Produto danificado,3499.59
298,32871,114,2023-03-21,Produto danificado,481.47
299,29144,82,2023-01-21,Produto danificado,116.0
300,38491,29,2023-09-14,Produto com defeito,739.16
301,42214,157,2023-11-26,Produto com defeito,659.07
302,10320,53,2023-11-22,Atraso na entrega,142.0
303,44816,175,2023-11-04,Produto com defeito,160.26
304,16391,77,2023-12-11,Produto danificado,836.24
305,21024,45,2023-12-05,Atraso na entrega,1220.4
306,40731,24,2023-09-30,Atraso na entrega,4126.78
307,48770,11,2023-11-18,Insatisfacao do cliente,2627.85
308,40760,108,2023-03-11,Produto errado,2339.72
309,29521,29,2023-11-18,Atraso na entrega,256.36
310,14101,222,2023-04-30,Produto com defeito,1376.74
311,1849,159,2023-06-18,Insatisfacao do cliente,920.3
312,34525,47,2023-06-04,Produto com defeito,3657.9
313,11551,37,2023-12-07,Insatisfacao do cliente,1037.75
314,6686,107,2023-05-22,Produto com defeito,3676.36
315,9002,51,2023-06-13,Produto errado,2445.56
316,45599,237,2023-03-26,Produto errado,871.23
317,1477,229,2023-11-28,Produto errado,242.28
318,14635,94,2023-02-12,Produto danificado,1134.2
319,31979,24,2023-12-17,Produto errado,1688.8
320,28372,183,2023-06-24,Atraso na entrega,895.07
321,15660,103,2023-04-15,Produto danificado,143.71
322,31359,171,2023-11-28,Atraso na entrega,845.81
323,14109,50,2023-08-23,Produto errado,581.24
324,3200,153,2023-03-05,Atraso na entrega,711.72
325,21492,101,2023-02-27,Produto errado,816.85
326,10371,36,2023-05-03,Produto errado,1429.44
327,14700,46,2023-01-22,Produto danificado,1104.46
328,11241,47,2023-04-04,Atraso na entrega,1402.6
329,32427,96,2023-09-08,Atraso na entrega,1384.82
330,30140,231,2023-07-02,Insatisfacao do cliente,302.13
331,5021,67,2023-08-19,Insatisfacao do cliente,1159.57
332,30414,231,2023-03-11,Produto danificado,336.33
333,39756,194,2023-05-19,Produto danificado,1797.71
334,38033,177,2023-12-03,Produto com defeito,3358.83
335,10770,223,2023-06-06,Produto danificado,1879.86
336,39495,79,2023-03-02,Produto danificado,1108.53
337,26028,239,2023-12-07,Produto errado,1336.39
338,46221,105,2023-07-12,Insatisfacao do cliente,145.7
339,6239,162,2023-11-28,Insatisfacao do cliente,1931.89
340,12452,190,2023-08-17,Atraso na entrega,672.82
341,49357,103,2023-12-02,Produto errado,149.93
342,1500,191,2023-12-15,Insatisfacao do cliente,3937.53
343,47227,5,2023-03-17,Produto com defeito,75.71
344,16613,75,2023-10-26,Produto danificado,151.89
345,2142,204,2023-09-18,Produto danificado,1187.92
346,15925,34,2023-07-19,Produto danificado,1264.13
347,31331,113,2023-07-13,Atraso na entrega,1118.89
348,10449,206,2023-07-28,Produto com defeito,1035.78
349,17951,23,2023-09-10,Produto danificado,251.29
350,27807,129,2023-05-09,Insatisfacao do cliente,602.08
351,10025,234,2023-12-11,Insatisfacao do cliente,4810.87
352,13578,232,2023-10-15,Insatisfacao do cliente,212.86
353,2391,84,2023-12-05,Produto com defeito,6023.76
354,448,24,2024-01-01,Produto errado,2581.68
355,25682,208,2023-02-02,Produto errado,1395.24
356,15181,103,2023-10-19,Atraso na entrega,155.67
357,23968,11,2024-01-10,Produto danificado,657.93
358,12839,162,2023-12-11,Insatisfacao do cliente,1681.8
359,4311,228,2023-03-15,Insatisfacao do cliente,864.17
360,44179,125,2023-11-14,Atraso na entrega,2860.98
361,36339,139,2023-11-25,Produto com defeito,582.0
362,46287,129,2023-04-03,Produto danificado,316.11
363,49761,210,2023-09-27,Produto com defeito,4114.08
364,34289,78,2023-02-10,Produto danificado,1063.97
365,43340,30,2023-11-30,Produto com defeito,1423.98
366,42165,82,2023-07-19,Produto danificado,110.5
367,36444,54,2023-05-25,Insatisfacao do cliente,2145.76
368,16799,107,2023-12-04,Produto com defeito,2772.15
369,10247,39,2023-06-08,Produto danificado,2577.52
370,33536,43,2023-12-06,Produto com defeito,433.34
371,38756,217,2023-09-19,Produto com defeito,1392.03
372,4984,89,2023-05-25,Produto danificado,1575.3
373,855,20,2023-11-30,Insatisfacao do cliente,320.76
374,7930,33,2023-06-27,Produto com defeito,850.12
375,6094,240,2023-10-07,Atraso na entrega,851.89
376,49744,6,2023-03-15,Atraso na entrega,1045.03
377,9158,182,2023-11-17,Atraso na entrega,33.83
378,24503,4,2023-05-25,Produto com defeito,1168.3
379,12143,105,2024-01-09,Insatisfacao do cliente,262.68
380,15532,134,2023-07-01,Atraso na entrega,7156.99
381,28077,220,2024-01-06,Produto com defeito,41.12
382,9763,79,2023-08-25,Insatisfacao do cliente,3434.64
383,15867,107,2023-12-04,Produto danificado,4034.85
384,13439,179,2023-12-06,Atraso na entrega,626.93
385,26863,213,2023-06-10,Insatisfacao do cliente,3676.41
386,46090,185,2024-01-04,Produto danificado,3070.82
387,47446,205,2023-10-03,Produto com defeito,325.4
388,3413,114,2023-05-12,Produto errado,232.34
389,1386,83,2023-11-08,Atraso na entrega,1646.44
390,8595,188,2023-11-25,Insatisfacao do cliente,502.11
391,48052,76,2023-08-17,Atraso na entrega,1380.37
392,38053,234,2023-07-30,Insatisfacao do cliente,3900.96
393,32554,200,2023-09-12,Insatisfacao do cliente,690.99
394,3422,151,2023-11-06,Produto errado,2948.18
395,37925,79,2023-11-02,Atraso na entrega,1108.55
396,34425,126,2023-02-04,Produto danificado,1258.93
397,25673,216,2023-09-18,Produto com defeito,600.4
398,30926,188,2023-11-27,Atraso na entrega,516.84
399,19049,216,2023-03-08,Produto errado,600.4
400,26518,55,2023-12-09,Atraso na entrega,2039.37
401,16446,173,2023-05-19,Insatisfacao do cliente,961.0
402,47823,240,2024-01-01,Produto errado,2646.21
403,34514,88,2023-12-07,Produto com defeito,297.88
404,2124,183,2023-11-21,Insatisfacao do cliente,2597.53
405,7044,74,2023-04-02,Produto danificado,461.15
406,38737,177,2023-11-21,Produto errado,1192.81
407,9609,11,2023-08-19,Produto danificado,665.88
408,44054,143,2023-02-20,Produto danificado,1328.58
409,42236,174,2024-01-13,Produto danificado,4209.21
410,24563,167,2023-11-14,Produto com defeito,2622.83
411,34260,138,2023-02-06,Produto com defeito,557.22
412,8514,157,2023-09-14,Produto com defeito,2344.46
413,10643,237,2023-06-15,Atraso na entrega,792.46
414,6602,50,2023-02-13,Produto danificado,2872.18
415,22217,6,2023-08-29,Produto errado,1152.42
416,38741,25,2023-04-19,Produto errado,453.67
417,36819,177,2023-01-27,Insatisfacao do cliente,2140.66
418,45116,14,2023-08-08,Insatisfacao do cliente,1299.16
419,19676,97,2023-11-07,Produto danificado,245.08
420,29774,170,2023-02-28,Produto danificado,2658.45
421,28769,233,2023-07-21,Produto errado,755.9
422,13091,39,2023-08-08,Produto errado,4392.84
423,6453,148,2023-09-11,Atraso na entrega,2604.15
424,22731,48,2023-07-16,Produto danificado,547.64
425,10268,69,2023-03-24,Atraso na entrega,512.29
426,18407,230,2024-01-14,Atraso na entrega,1509.54
427,46070,144,2023-12-01,Insatisfacao do cliente,1241.0
428,29854,55,2023-11-26,Atraso na entrega,734.54
429,6655,47,2023-04-03,Insatisfacao do cliente,2933.52
430,32351,106,2023-01-27,Produto com defeito,971.13
431,40014,66,2023-10-03,Produto com defeito,916.53
432,34858,139,2023-11-20,Atraso na entrega,526.76
433,324,29,2023-07-03,Atraso na entrega,231.62
434,24145,39,2023-05-15,Insatisfacao do cliente,1288.76
435,18151,27,2023-06-23,Produto com defeito,1175.28
436,44674,162,2024-01-14,Produto danificado,4857.76
437,48791,92,2023-07-11,Produto danificado,1176.25
438,5877,124,2023-11-26,Produto danificado,1300.84
439,49643,6,2023-06-11,Produto danificado,1152.42
440,16091,221,2023-02-09,Atraso na entrega,2737.36
441,2489,162,2023-01-29,Produto danificado,762.94
442,5202,101,2023-01-16,Atraso na entrega,3196.8
443,5208,192,2023-03-07,Atraso na entrega,2120.3
444,6861,235,2023-07-17,Atraso na entrega,1090.27
445,43571,239,2023-09-20,Produto errado,2549.79
446,25513,205,2023-05-01,Insatisfacao do cliente,332.19
447,35346,174,2023-05-21,Produto errado,1226.37
448,36025,85,2023-04-22,Produto errado,2268.54
449,41351,110,2023-11-21,Produto danificado,38.64
450,39081,60,2023-10-18,Produto errado,1534.6
451,41182,24,2023-12-12,Produto com defeito,860.56
452,18562,174,2023-10-16,Produto com defeito,2759.8
453,31993,38,2023-07-02,Insatisfacao do cliente,537.94
454,37636,217,2023-09-09,Produto danificado,464.01
455,8459,27,2023-12-01,Produto errado,380.09
456,21692,162,2023-02-07,Insatisfacao do cliente,1745.77
457,9299,144,2023-11-14,Produto danificado,3723.0
458,38173,106,2023-11-25,Atraso na entrega,655.52
459,48557,107,2023-11-16,Produto com defeito,1412.75
460,46359,90,2023-12-11,Insatisfacao do cliente,1396.14
461,47921,72,2023-05-24,Produto com defeito,403.37
462,31632,44,2023-06-01,Atraso na entrega,1426.74
463,16837,19,2023-01-21,Insatisfacao do cliente,4279.42
464,5078,197,2023-03-01,Produto errado,575.21
465,37431,166,2023-12-01,Insatisfacao do cliente,1394.03
466,15135,21,2023-08-16,Produto danificado,287.01
467,20527,44,2023-01-19,Produto errado,1444.17
468,35998,13,2023-08-10,Insatisfacao do cliente,1029.22
469,41099,173,2023-12-17,Produto errado,1010.45
470,45318,118,2023-11-12,Produto errado,1408.73
471,34372,135,2023-06-13,Atraso na entrega,1209.57
472,15110,34,2023-06-09,Insatisfacao do cliente,1307.94
473,22022,82,2023-10-04,Produto com defeito,101.28
474,8305,124,2023-05-14,Insatisfacao do cliente,1120.18
475,30463,217,2023-10-12,Produto danificado,464.01
476,7435,172,2023-12-12,Atraso na entrega,641.24
477,42292,173,2023-05-31,Produto danificado,1010.45
478,20512,183,2023-12-04,Atraso na entrega,2437.48
479,26636,17,2023-07-28,Produto danificado,1041.45
480,11338,237,2023-09-30,Insatisfacao do cliente,871.23
481,15396,216,2023-10-09,Produto com defeito,600.4
482,23660,237,2023-04-25,Atraso na entrega,4188.17
483,31846,177,2023-05-07,Produto errado,1192.81
484,44000,105,2023-11-10,Atraso na entrega,285.22
485,10063,24,2023-12-29,Atraso na entrega,1660.9
486,41480,64,2023-06-14,Insatisfacao do cliente,762.14
487,7749,83,2023-01-20,Produto danificado,777.6
488,27072,173,2023-04-29,Produto errado,3991.05
489,41658,162,2023-12-25,Insatisfacao do cliente,2963.46
490,23692,178,2023-09-22,Atraso na entrega,361.77
491,18770,200,2023-11-23,Produto errado,599.99
492,19019,67,2023-12-12,Produto danificado,2437.3
493,27588,22,2023-08-05,Produto com defeito,250.82
494,32508,237,2023-12-04,Atraso na entrega,1742.46
495,36883,134,2023-12-28,Produto com defeito,1454.98
496,46976,118,2023-06-06,Insatisfacao do cliente,1408.73
497,20716,140,2023-07-02,Produto danificado,1111.91
498,45981,156,2023-11-30,Atraso na entrega,1334.24
499,12967,101,2023-08-25,Produto errado,816.65
500,46319,145,2023-11-12,Atraso na entrega,172.9
501,19319,239,2023-05-26,Atraso na entrega,2819.91
502,19804,63,2023-11-23,Produto danificado,3479.21
503,31737,232,2023-11-08,Produto com defeito,207.04
504,37885,10,2023-09-01,Produto com defeito,2874.42
505,25299,208,2023-12-07,Produto danificado,1357.23
506,10288,94,2023-11-10,Produto com defeito,1630.74
507,40219,97,2023-02-04,Insatisfacao do cliente,249.35
508,8437,136,2023-09-15,Insatisfacao do cliente,1239.03
509,1667,232,2023-12-05,Produto errado,314.13
510,9781,233,2023-02-23,Insatisfacao do cliente,804.87
511,9169,21,2023-06-27,Insatisfacao do cliente,287.01
512,9859,97,2023-06-17,Produto errado,497.98
513,48354,144,2023-04-01,Atraso na entrega,1190.82
514,9226,48,2023-09-13,Produto errado,514.59
515,10145,67,2023-10-26,Produto errado,1218.65
